Terme français,Terme anglais,Description en français,Description en anglais
Géorgie,Georgia,,
Bénin,Benin,,
Djibouti,Djibouti,,
"Salomon, îles",Solomon islands,,
Togo,Togo,,
Nigéria,Nigeria,,
Ghana,Ghana,,
Jersey,Jersey,,
"Åland, îles",Åland islands,,
Palaos,Palau,,
Gambie,Gambia,,
Equateur,Ecuador,,
Chili,Chile,,
Namibie,Namibia,,
Guinée-bissau,Guinea-bissau,,
Saint-marin,San marino,,
Liechtenstein,Liechtenstein,,
Tadjikistan,Tajikistan,,
"Centrafricaine, république",Central african republic,,
Italie,Italy,,
Azerbaïdjan,Azerbaijan,,
Chine,China,,
Botswana,Botswana,,
Chypre,Cyprus,,
Slovénie,Slovenia,,
Sahara occidental,Western sahara,,
Afrique du sud,South africa,,
Zimbabwe,Zimbabwe,,
Iles vierges britanniques,"Virgin islands, british",,
"Lao, république démocratique populaire",Lao people's democratic republic,,
Guernesey,Guernsey,,
Guatemala,Guatemala,,
Roumanie,Romania,,
Norvège,Norway,,
Monaco,Monaco,,
Uruguay,Uruguay,,
Dominique,Dominica,,
Porto rico,Puerto rico,,
Nicaragua,Nicaragua,,
Albanie,Albania,,
Hong kong,Hong kong,,
Curaçao,Curaçao,,
Géorgie du sud-et-les îles sandwich du sud,South georgia and the south sandwich islands,,
Bermudes,Bermuda,,
"Congo, la république démocratique du","Congo, the democratic republic of the",,
Bangladesh,Bangladesh,,
Pérou,Peru,,
"Océan indien, territoire britannique de l'",British indian ocean territory,,
Etats-unis,United states,,
Martinique,Martinique,,
Burundi,Burundi,,
Niué,Niue,,
Gibraltar,Gibraltar,,
"Cook, ïles",Cook islands,,
Saint-kitts-et-nevis,Saint kitts and nevis,,
"Russie, fédération de",Russian federation,,
Libéria,Liberia,,
"Dominicaine, république",Dominican republic,,
"Bonaire, saint-eustache et saba","Bonaire, sint eustatius and saba",,
Serbie,Serbia,,
Mozambique,Mozambique,,
Svalbard et île jan mayen,Svalbard and jan mayen,,
Mexique,Mexico,,
Sénégal,Senegal,,
"Taïwan, province de chine","Taiwan, province of china",,
Oman,Oman,,
Haïti,Haiti,,
Niger,Niger,,
Myanmar,Myanmar,,
Panama,Panama,,
Sainte-lucie,Saint lucia,,
Antigua-et-barbuda,Antigua and barbuda,,
Qatar,Qatar,,
Samoa,Samoa,,
Sri lanka,Sri lanka,,
Grenade,Grenada,,
Guyana,Guyana,,
Nauru,Nauru,,
Malte,Malta,,
Lituanie,Lithuania,,
Bulgarie,Bulgaria,,
Cuba,Cuba,,
Eswatini,Eswatini,,
Fidji,Fiji,,
Canada,Canada,,
Iraq,Iraq,,
Soudan du sud,South sudan,,
Lettonie,Latvia,,
Sierra leone,Sierra leone,,
"Corée, république populaire démocratique de","Korea, democratic people's republic of",,
Guadeloupe,Guadeloupe,,
"Syrienne, république arabe",Syrian arab republic,,
Autriche,Austria,,
"Christmas, île",Christmas island,,
Maroc,Morocco,,
Polynésie française,French polynesia,,
Saint-pierre-et-miquelon,Saint pierre and miquelon,,
France,France,,
Mongolie,Mongolia,,
Allemagne,Germany,,
Gabon,Gabon,,
Saint-martin (partie néerlandaise),Sint maarten (dutch part),,
Papouasie-nouvelle-guinée,Papua new guinea,,
Trinité-et-tobago,Trinidad and tobago,,
Mauritanie,Mauritania,,
Jordanie,Jordan,,
Kenya,Kenya,,
Liban,Lebanon,,
Andorre,Andorra,,
Tuvalu,Tuvalu,,
Royaume-uni,United kingdom,,
El salvador,El salvador,,
Paraguay,Paraguay,,
"Tchèque, république",Czech republic,,
Comores,Comoros,,
Israël,Israel,,
Ethiopie,Ethiopia,,
Angola,Angola,,
Seychelles,Seychelles,,
Luxembourg,Luxembourg,,
Grèce,Greece,,
Sao tomé-et-principe,Sao tome and principe,,
Somalie,Somalia,,
Vanuatu,Vanuatu,,
Hongrie,Hungary,,
Iles vierges des états-unis,"Virgin islands, u.s.",,
Egypte,Egypt,,
Suède,Sweden,,
Viet nam,Viet nam,,
Samoa américaines,American samoa,,
Saint-vincent-et-les grenadines,Saint vincent and the grenadines,,
Inde,India,,
Costa rica,Costa rica,,
Australie,Australia,,
"Cocos (keeling), îles",Cocos (keeling) islands,,
Malawi,Malawi,,
Turquie,Turkey,,
Slovaquie,Slovakia,,
Bosnie-herzégovine,Bosnia and herzegovina,,
Zambie,Zambia,,
"Caïmans, îles",Cayman islands,,
"Palestinien occupé, territoire","Palestinian territory, occupied",,
Bhoutan,Bhutan,,
Népal,Nepal,,
Libye,Libya,,
Anguilla,Anguilla,,
Mali,Mali,,
"Turques-et-Caïques, îles",Turks and caicos islands,,
Terres australes françaises,French southern territories,,
Argentine,Argentina,,
"Venezuela, république bolivarienne du","Venezuela, bolivarian republic of",,
Cambodge,Cambodia,,
Jamaïque,Jamaica,,
Congo,Congo,,
Suriname,Suriname,,
Espagne,Spain,,
Thaïlande,Thailand,,
Ouganda,Uganda,,
Rwanda,Rwanda,,
Brésil,Brazil,,
Indonésie,Indonesia,,
Islande,Iceland,,
Honduras,Honduras,,
Danemark,Denmark,,
Emirats arabes unis,United arab emirates,,
"Norfolk, île",Norfolk island,,
Guam,Guam,,
Pologne,Poland,,
Mayotte,Mayotte,,
Groenland,Greenland,,
Kirghizistan,Kyrgyzstan,,
Ouzbékistan,Uzbekistan,,
Belgique,Belgium,,
Brunei darussalam,Brunei darussalam,,
"Bouvet, île",Bouvet island,,
Bahamas,Bahamas,,
Guinée,Guinea,,
Turkménistan,Turkmenistan,,
Monténégro,Montenegro,,
Singapour,Singapore,,
"Marshall, îles",Marshall islands,,
Montserrat,Montserrat,,
Macao,Macao,,
Guyane française,French guiana,,
Kiribati,Kiribati,,
"Heard-et-îles macdonald, île",Heard island and mcdonald islands,,
Cameroun,Cameroon,,
"Mariannes du nord, îles",Northern mariana islands,,
Lesotho,Lesotho,,
Réunion,Réunion,,
Afghanistan,Afghanistan,,
"Bolivie, l'état plurinational de","Bolivia, plurinational state of",,
Croatie,Croatia,,
"Tanzanie, république-unie de","Tanzania, united republic of",,
Iles mineures éloignées des états-unis,United states minor outlying islands,,
Pitcairn,Pitcairn,,
Barbade,Barbados,,
Portugal,Portugal,,
Guinée équatoriale,Equatorial guinea,,
Colombie,Colombia,,
Ile de man,Isle of man,,
Erythrée,Eritrea,,
Pays-bas,Netherlands,,
"Moldova, république de","Moldova, republic of",,
"Micronésie, états fédérés de","Micronesia, federated states of",,
"Sainte-héléne, ascension et tristan da cunha","Saint helena, ascension and tristan da cunha",,
Algérie,Algeria,,
Aruba,Aruba,,
Madagascar,Madagascar,,
Bélarus,Belarus,,
Saint-siège (Etat de la cité du vatican),Holy see (vatican city state),,
Ukraine,Ukraine,,
Cap-vert,Cape verde,,
Saint-martin (partie française),Saint martin (french part),,
Belize,Belize,,
Pakistan,Pakistan,,
Burkina faso,Burkina faso,,
Tonga,Tonga,,
Suisse,Switzerland,,
Tokelau,Tokelau,,
"Corée, république de","Korea, republic of",,
Tchad,Chad,,
Philippines,Philippines,,
"Féroé, îles",Faroe islands,,
Finlande,Finland,,
"Belize; China; Allemagne; Italie; France; Japon; Corée, république populaire démocratique de; Taiwan, Province of China; Russie, fédération de; Espagne; Royaume-Uni; Etats-Unis",New zealand,,
Saint-barthélemy,Saint barthélemy,,
"Falkland, îles (malvinas)",Falkland islands (malvinas),,
Arabie saoudite,Saudi arabia,,
Antarctique,Antarctica,,
Tunisie,Tunisia,,
Japon,Japan,,
Irlande,Ireland,,
Yémen,Yemen,,
Maurice,Mauritius,,
Nouvelle-calédonie,New caledonia,,
Koweït,Kuwait,,
Soudan,Sudan,,
